t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
11.120000000000001,CIRCLE,-0.4834923527754507,0.38691305293682327,0.5001674404530311,0.06686159389952924,-0.30320055132344736,-4.923359222872632e-05,0.0005004277148646644,0.020844978642267965,0.0006004654900658987,-0.48397753843988445,0.37443829291670894,0.5,0.00043870246027149097,-2.606701787621706e-05,-9.76173875526712e-05,40.6916354241305,40.69145130592107,40.69140214036996,40.69158625857939,0.012485314533231675
11.28,CIRCLE,-0.4698479986197931,0.33915863453468026,0.5001598920339695,0.09742523046925966,-0.29488976933548944,-4.581713993996082e-05,-0.0015590209716511763,0.02073761972220805,0.0005930511071029937,-0.46893235582434445,0.3264994361362753,0.5,0.00043855015387136157,-1.6915412454098812e-05,-9.655574883419909e-05,40.6916024325458,40.691420316715494,40.69138841220001,40.69157052803032,0.01269327661723176
11.44,CIRCLE,-0.45141367034637286,0.29302060900413385,0.5001528766661524,0.12690255303399062,-0.2836065867855804,-4.256701386756298e-05,-0.0036026988811053567,0.020417940304806013,0.0005866389234502552,-0.44915191020585227,0.28031258215720684,0.5,0.00043836271765415705,-7.4451292624659864e-06,-9.521885359981767e-05,40.69156349283637,40.69138389855232,40.6913698561373,40.69154945042136,0.012908635735449325
11.6,CIRCLE,-0.4283918755254926,0.2489640342110747,0.5001463536142146,0.154997597305292,-0.2694646930195148,-3.9618995622534584e-05,-0.0056101425050098614,0.019894719415560227,0.000582475199725091,-0.42483594385246826,0.2363441242623589,0.5,0.00043816632587005927,1.976505892381476e-06,-9.327421481091045e-05,40.69152265231283,40.691346725852924,40.69135045378229,40.691526380242195,0.013112139282257004
11.76,CIRCLE,-0.40103040509577054,0.20743301506241135,0.50014026614699,0.1814360448870972,-0.25260638489120446,-3.705478873934296e-05,-0.0075612533348201555,0.01917745386468993,0.0005812933070741795,-0.39622999856659535,0.19503805444627054,0.5,0.00043798269542765747,1.1379873614546319e-05,-9.09013569753461e-05,40.69148338244109,40.69131193147829,40.691333395297455,40.69150484626026,0.013292803546017713
11.92,CIRCLE,-0.36961881746003483,0.1688462597077988,0.5001345496498893,0.20596574762867584,-0.23320114079971996,-3.490197447934062e-05,-0.009436451721281576,0.018276216602562005,0.0005832972531803432,-0.3636229362121977,0.15681147999908274,0.5,0.00043782735963228837,2.069889258312274e-05,-8.816000413720251e-05,40.69144818427203,40.69128190383253,40.69132094444952,40.69148722488902,0.013446360778432722
12.08,CIRCLE,-0.3344848600046352,0.13359288222020443,0.500129138731882,0.22835705682467075,-0.21144399164881986,-3.314798154693817e-05,-0.01121691069064059,0.01720169221968722,0.0005888935711892655,-0.3273440217975101,0.12205041157129004,0.5,0.0004377102888964138,2.9886569713383692e-05,-8.528841129270453e-05,40.69141885601623,40.69125799174843,40.69131436143665,40.69147522570445,0.013573388515527715
12.24,CIRCLE,-0.29599084528576197,0.10202849264635619,0.500123974994604,0.24840301343145366,-0.18755365270340124,-3.1736125518380495e-05,-0.012884680383772005,0.015964911609712185,0.0005981321973062707,-0.28775959856816535,0.0911058652512996,0.5,0.0004376335095876931,3.90877634420569e-05,-8.167231798223535e-05,40.691394992571205,40.69124094869311,40.6913146729465,40.691468716824595,0.013677447917520026
12.4,CIRCLE,-0.25453001613666904,0.07447160643301062,0.5001190105572108,0.2659194498137197,-0.16177041141727705,-3.0584774924722045e-05,-0.014422822936347371,0.014577600602249458,0.0006106060087278694,-0.2452693886855435,0.0642903180168935,0.5,0.00043759323234715335,4.766833254131204e-05,-7.753071993548392e-05,40.6913768173067,40.691230584983856,40.69132049322924,40.69146672555208,0.01376343046313049
12.56,CIRCLE,-0.21052282840681288,0.051200393825444376,0.5001142121479234,0.28074583084297194,-0.13435402830802196,-2.9616458286421137e-05,-0.015815623122128815,0.013052544745663827,0.0006261514226875261,-0.20030245684596126,0.04187455235331905,0.5,0.00043758336978441865,5.583696463900081e-05,-7.34699329935792e-05,40.69136377156137,40.691225198374255,40.69133051364859,40.691469086835696,0.013836197397399712
