t,mode,dist_enabled,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_lqr_0,u_lqr_1,u_lqr_2,du_dist_0,du_dist_1,du_dist_2,u_total_0,u_total_1,u_total_2,m1,m2,m3,m4,d_fx_raw,d_fy_raw,d_fz_raw,d_fx_filt,d_fy_filt,d_fz_filt,pos_error
28.240000000000002,HOVER,True,-5.29745037143082e-05,1.7693597958626927e-10,0.5000093174772335,-0.006909846912071257,5.183491193548009e-11,-2.3851462659640965e-05,-2.445269635537552e-12,0.004911507810997972,4.906753176662138e-13,0.0,0.0,0.5,0.0004118467437576458,2.657058278867647e-12,-0.20010342523541588,0.0,-2.6620850013715034e-12,0.2,0.0004118467437576458,-5.026722503856241e-15,-0.00010342523541587156,40.687497343581576,40.687302271068035,40.68730227106801,40.68749734358156,-0.2081143695138675,6.220684778575546e-13,-3.0,-0.22009809628765487,5.998774598914494e-13,-2.9999999999999956,5.378766983060411e-05
28.32,HOVER,True,-0.000388267192705712,1.8115280072155105e-10,0.5000076141017034,-0.003059720423232516,5.308892391269439e-11,-2.0183321416568704e-05,-2.5043749273305727e-12,0.004600704637126639,4.977004085874321e-13,0.0,0.0,0.5,0.0004116714707213432,2.6958662292429536e-12,-0.20009035372777345,0.0,-2.699206199086247e-12,0.2,0.0004116714707213432,-3.3399698432933055e-15,-9.035372777344008e-05,40.68745813399118,40.68728771592335,40.68728771592335,40.68745813399118,-0.20237488109545518,6.341192735370914e-13,-3.0,-0.2141360313546582,6.112256149987966e-13,-2.9999999999999956,0.0003883418435816006
28.400000000000002,HOVER,True,-0.0004323203776765475,1.8547162575643468e-10,0.500006206864444,0.0004869320339881734,5.4373068611872965e-11,-1.648395963067627e-05,-2.564760891048018e-12,0.004243292409273037,5.049384480996976e-13,0.0,0.0,0.5,0.00041145848312436345,2.7334352239677575e-12,-0.20007679453341634,0.0,-2.737869787683583e-12,0.2,0.00041145848312436345,-4.4345637158254666e-15,-7.679453341633002e-05,40.68741268004088,40.68726783625493,40.68726783625493,40.68741268004088,-0.1967447937290625,6.465394500309968e-13,-3.0,-0.2082853103486141,6.229304383876294e-13,-2.9999999999999956,0.0004323649316499349
28.48,HOVER,True,-0.0002111662823141569,1.8989489715443558e-10,0.500005090430835,0.003699586524506462,5.568789685938403e-11,-1.2892138825914744e-05,-2.6264464382165484e-12,0.0038474649130512397,5.121105152179534e-13,0.0,0.0,0.5,0.0004112205614191763,2.774066652827136e-12,-0.20006296984249555,0.0,-2.777998439561895e-12,0.2,0.0004112205614191763,-3.931786734759167e-15,-6.29698424955416e-05,40.68736315146153,40.68724438271613,40.68724438271613,40.68736315146153,-0.19122307502242278,6.593360724369346e-13,-3.0,-0.20254494445365295,6.349985054498603e-13,-2.9999999999999956,0.0002112276290462586
28.560000000000002,HOVER,True,0.0002471020810155788,1.94425105325271e-10,0.5000042491449999,0.006554520928732283,5.703406560774511e-11,-9.531539504303913e-06,-2.6895328829562272e-12,0.0034214596931951722,5.194361730147644e-13,0.0,0.0,0.5,0.0004109706539302951,2.8162620912361833e-12,-0.2000490797062743,0.0,-2.8195980692929283e-12,0.2,0.0004109706539302951,-3.335978056744942e-15,-4.9079706274296475e-05,40.68731172285292,40.687219152585826,40.687219152585826,40.68731172285292,-0.1858086756822279,6.725153363267653e-13,-3.0,-0.19691392405031077,6.474363334685042e-13,-2.9999999999999956,0.0002471386122715293
28.64,HOVER,True,0.0009128711624192741,1.9906479461099714e-10,0.5000036586378319,0.009034734705483351,5.84122309301332e-11,-6.504198430294541e-06,-2.753962152076384e-12,0.00297344443508164,5.266240502007425e-13,0.0,0.0,0.5,0.0004107210225420319,2.8576850401759088e-12,-0.20003532320818054,0.0,-2.862619563816885e-12,0.2,0.0004107210225420319,-4.9345236409764304e-15,-3.532320818053214e-05,40.687260462619875,40.6871938387734,40.68719383877339,40.687260462619854,-0.1805005309191094,6.860839870713834e-13,-3.0,-0.19139122055210103,6.602504561251093e-13,-2.9999999999999956,0.0009128784939999087
28.72,HOVER,True,0.001755535782487809,2.038165601547192e-10,0.5000032877763952,0.0111297814037317,5.982302811757361e-11,-3.886854023031448e-06,-2.819784766102257e-12,0.00251140648409164,5.342403992552788e-13,0.0,0.0,0.5,0.0004104826194146072,2.902505247583949e-12,-0.20002189457231168,0.0,-2.907105628565703e-12,0.2,0.0004104826194146072,-4.6003809817541914e-15,-2.1894572311664806e-05,40.68721123370665,40.687169937892946,40.68716993789293,40.687211233706634,-0.17529756172579783,7.000488777767069e-13,-3.0,-0.18597578804853215,6.73447519567794e-13,-2.9999999999999956,0.0017555388611673484
28.8,HOVER,True,0.002744009955165559,2.0868305051340287e-10,0.5000031007969796,0.012835517960134043,6.126714646765825e-11,-1.7292144089337459e-06,-2.887135229754878e-12,0.002043046695869295,5.417574629987578e-13,0.0,0.0,0.5,0.0004102646161572168,2.948418524880483e-12,-0.20000897482050473,0.0,-2.953082473967391e-12,0.2,0.0004102646161572168,-4.663949086908078e-15,-8.974820504714653e-06,40.687165613516314,40.68714868591844,40.68714868591842,40.68716561351629,-0.17019867598665994,7.144167212627755e-13,-3.0,-0.18066656476825207,6.870342117456609e-13,-2.9999999999999956,0.0027440117071524397
28.88,HOVER,True,0.0038472132566191833,2.1366697084498208e-10,0.5000030594768599,0.014153776309840832,6.274527832333018e-11,-5.398712595207776e-08,-2.955905194151377e-12,0.0015756819128337734,5.49305827289294e-13,0.0,0.0,0.5,0.00041007409097282315,2.9953776699322626e-12,-0.1999967263786004,0.0,-3.000549955907477e-12,0.2,0.00041007409097282315,-5.17228597521429e-15,3.2736213996242824e-06,40.68712484084021,40.68713101528644,40.687131015286425,40.68712484084019,-0.1652027694287939,7.291947816864153e-13,-3.0,-0.17546247436823129,7.010173528880098e-13,-2.9999999999999956,0.0038472144731357366
28.96,HOVER,True,0.005034526985389568,2.187710821333869e-10,0.5000031252153405,0.015091965819422928,6.425815013569903e-11,1.141542454993632e-06,-3.0262474964601526e-12,0.0011161589785938682,5.566190926877536e-13,0.0,0.0,0.5,0.000409915872581037,3.044911054588823e-12,-0.19998529082732033,0.0,-3.0494736942852847e-12,0.2,0.000409915872581037,-4.562639696461835e-15,1.4709172679677751e-05,40.68708978979872,40.68711753307892,40.687117533078904,40.687089789798705,-0.1603087264368273,7.443901963552758e-13,-3.0,-0.17036242706000707,7.154039057449726e-13,-2.9999999999999956,0.005034527955388344
29.04,HOVER,True,0.006276215216604237,2.2399820712695957e-10,0.5000032610710802,0.015662619261169127,6.580655208553547e-11,1.8864658879572388e-06,-3.0983280326771294e-12,0.0006708051944543882,5.636355838211766e-13,0.0,0.0,0.5,0.0004097921139804154,3.096513276179235e-12,-0.19997495541907226,0.0,-3.099858243272047e-12,0.2,0.0004097921139804154,-3.344967092811603e-15,2.504458092775219e-05,40.68706106150272,40.68710829861397,40.68710829861397,40.68706106150272,-0.15551542077975247,7.600102520528115e-13,-3.0,-0.16536532059142278,7.302009547648655e-13,-2.9999999999999956,0.00627621606381737
29.12,HOVER,True,0.007543807820487156,2.293512398232241e-10,0.5000034332326689,0.01588290716346687,6.739139428554621e-11,2.220230806467361e-06,-3.1719217434843765e-12,0.00024531229507815486,5.694564543503678e-13,0.0,0.0,0.5,0.0004097036886644102,3.1470599708854066e-12,-0.1999655354388276,0.0,-3.151547161760406e-12,0.2,0.0004097036886644102,-4.487190874999192e-15,3.4464561172398156e-05,40.68703861572617,40.68710362006045,40.68710362006045,40.68703861572617,-0.15082171621056956,7.760627706990442e-13,-3.0,-0.16047004111481186,7.454156958399963e-13,-2.9999999999999956,0.007543808601729619
29.2,HOVER,True,0.008810439019439596,2.3483313212137943e-10,0.500003611815227,0.015774047950571565,6.901332568520504e-11,2.198955079903331e-06,-3.2470576428406124e-12,-0.00015531611771299006,5.748834631716196e-13,0.0,0.0,0.5,0.0004096493870168688,3.199678179999265e-12,-0.1999571003721261,0.0,-3.204605065391574e-12,0.2,0.0004096493870168688,-4.926885392308944e-15,4.2899627873904667e-05,40.6870223324742,40.687103246365346,40.68710324636533,40.687022332474186,-0.14622646679258927,7.925565928671193e-13,-3.0,-0.15567546386256204,7.610559373709309e-13,-2.9999999999999956,0.008810439759766423
29.28,HOVER,True,0.010051138559343913,2.4044689618742584e-10,0.5000037717935784,0.015360727577778182,7.067316734996098e-11,1.8857379496502324e-06,-3.3239729262139644e-12,-0.0005267869884328046,5.777187269225456e-13,0.0,0.0,0.5,0.00040962673009944413,3.2539724114070992e-12,-0.19994934188541655,0.0,-3.2587610429665405e-12,0.2,0.00040962673009944413,-4.7886315594413204e-15,5.065811458346281e-05,40.68701154076432,40.687107088100554,40.68710708810053,40.6870115407643,-0.14172851747178242,8.094996078641212e-13,-3.0,-0.15098045376394117,7.771295888501477e-13,-2.9999999999999956,0.010051139267046143
29.36,HOVER,True,0.011243076267206664,2.461956165327139e-10,0.5000038948264813,0.01467052088571308,7.23718383228528e-11,1.36837641512799e-06,-3.40244887250848e-12,-0.0008653665292086257,5.802508777650443e-13,0.0,0.0,0.5,0.00040962981059969696,3.308629579350906e-12,-0.1999432642255295,0.0,-3.3141025418566593e-12,0.2,0.00040962981059969696,-5.472962505753176e-15,5.67357744705177e-05,40.68700628163256,40.68711329217105,40.687113292171034,40.68700628163255,-0.1373267046781307,8.269006314327445e-13,-3.0,-0.14638386602296555,7.936447149590979e-13,-2.9999999999999956,0.011243076941829543
29.44,HOVER,True,0.012365766348375764,2.5208243791179705e-10,0.5000039682087998,0.013733412058558783,7.411000758840247e-11,7.110054839263865e-07,-3.4824569915607794e-12,-0.0011680274058936014,5.813958825219832e-13,0.0,0.0,0.5,0.00040965438738357424,3.3641744152515896e-12,-0.19993852650142843,0.0,-3.3707135706640593e-12,0.2,0.00040965438738357424,-6.5391554124697424e-15,6.147349857157924e-05,40.68700558311737,40.68712152957699,40.68712152957698,40.68700558311735,-0.13301985686466183,8.447695670129853e-13,-3.0,-0.1418845467479479,8.106100236631542e-13,-2.9999999999999956,0.012365766985080368
