t,controller,scenario,mode,px,py,pz,vx,vy,yaw,ref_px,ref_py,ref_pz,ex,ey,ez,pos_error,wind_on
7.112,PID,HOVER_NO_WIND,HOVER,-0.030318800763740942,-1.546093530822739e-16,0.49025653102029804,0.004295014489896772,2.0217908482419792e-16,1.510925706158031e-15,0.0,0.0,0.5,-0.030318800763740942,-1.546093530822739e-16,-0.009743468979701964,0.03184595527708084,0
7.12,PID,HOVER_NO_WIND,HOVER,-0.03028491843042209,-1.5282181741986845e-16,0.4902671120617115,0.004235291664856328,2.170025607388815e-16,1.5204140756660446e-15,0.0,0.0,0.5,-0.03028491843042209,-1.5282181741986845e-16,-0.009732887938288526,0.031810460417237,0
7.128,PID,HOVER_NO_WIND,HOVER,-0.03025150889093394,-1.5090771974836465e-16,0.49027774726175866,0.004176192436018772,2.3282433878128806e-16,1.5415645364331502e-15,0.0,0.0,0.5,-0.03025150889093394,-1.5090771974836465e-16,-0.009722252738241344,0.031775399108185824,0
7.136,PID,HOVER_NO_WIND,HOVER,-0.030218567163919532,-1.4885124354908873e-16,0.4902884329647527,0.004117715876801074,2.506162594778197e-16,1.5647668815546354e-15,0.0,0.0,0.5,-0.030218567163919532,-1.4885124354908873e-16,-0.009711567035247282,0.031740767724181114,0
7.144,PID,HOVER_NO_WIND,HOVER,-0.030186088277016417,-1.4664821198710838e-16,0.49029916560207365,0.004059860862889484,2.6892332335626205e-16,1.5901091464220564e-15,0.0,0.0,0.5,-0.030186088277016417,-1.4664821198710838e-16,-0.00970083439792635,0.03170656262485448,0
7.152,PID,HOVER_NO_WIND,HOVER,-0.030154067268377334,-1.4430656177812468e-16,0.4903099416909574,0.004002626079885326,2.8623239671811073e-16,1.6174079905653801e-15,0.0,0.0,0.5,-0.030154067268377334,-1.4430656177812468e-16,-0.009690058309042626,0.03167278015676034,0
7.16,PID,HOVER_NO_WIND,HOVER,-0.03012249918813136,-1.418453029932891e-16,0.49032075783328705,0.003946010030746527,3.0117031212276367e-16,1.6439481732526159e-15,0.0,0.0,0.5,-0.03012249918813136,-1.418453029932891e-16,-0.009679242166712954,0.03163941665487606,0
7.168,PID,HOVER_NO_WIND,HOVER,-0.03009137909978719,-1.3927936209172988e-16,0.4903316107143866,0.0038900110430214116,3.142424170160417e-16,1.6709967161976803e-15,0.0,0.0,0.5,-0.03009137909978719,-1.3927936209172988e-16,-0.009668389285613421,0.03160646844405863,0
7.176,PID,HOVER_NO_WIND,HOVER,-0.03006070208158007,-1.3662665227228487e-16,0.4903424971018175,0.00383462727588995,3.2507645011233497e-16,1.6982816972163847e-15,0.0,0.0,0.5,-0.03006070208158007,-1.3662665227228487e-16,-0.009657502898182513,0.03157393184045845,0
7.184,PID,HOVER_NO_WIND,HOVER,-0.030030463227764016,-1.3390655286399713e-16,0.4903534138441788,0.0037798567270068036,3.3353873465106357e-16,1.7126816841097787e-15,0.0,0.0,0.5,-0.030030463227764016,-1.3390655286399713e-16,-0.009646586155821202,0.031541803152891686,0
7.192,PID,HOVER_NO_WIND,HOVER,-0.030000657649850746,-1.3113930136468704e-16,0.4903643578699109,0.0037256972391587623,3.39471585750401e-16,1.7271536709228515e-15,0.0,0.0,0.5,-0.030000657649850746,-1.3113930136468704e-16,-0.009635642130089106,0.03151007868417177,0
7.2,PID,HOVER_NO_WIND,HOVER,-0.02997128047779687,-1.2834558682350919e-16,0.49037532618610374,0.003672146506734395,3.428168880355295e-16,1.7421498842623754e-15,0.0,0.0,0.5,-0.02997128047779687,-1.2834558682350919e-16,-0.009624673813896256,0.03147875473240115,0
7.208,PID,HOVER_NO_WIND,HOVER,-0.029942326861140758,-1.2554906990984482e-16,0.4903863158773096,0.0036192020820141582,3.432039071695989e-16,1.757488776340143e-15,0.0,0.0,0.5,-0.029942326861140758,-1.2554906990984482e-16,-0.009613684122690425,0.03144782759222426,0
7.216,PID,HOVER_NO_WIND,HOVER,-0.029913791970090482,-1.2277536661989214e-16,0.49039732410436054,0.0035668613812844256,3.403889052529796e-16,1.7729889993168165e-15,0.0,0.0,0.5,-0.029913791970090482,-1.2277536661989214e-16,-0.009602675895639456,0.031417293556042426,0
7.224,PID,HOVER_NO_WIND,HOVER,-0.029885670996564237,-1.2005103463787164e-16,0.4904083481031918,0.003515121690780655,3.342112317452718e-16,1.8008668160460333e-15,0.0,0.0,0.5,-0.029885670996564237,-1.2005103463787164e-16,-0.009591651896808218,0.031387148915191794,0
7.232,PID,HOVER_NO_WIND,HOVER,-0.029857959155184573,-1.1739913215579073e-16,0.49041938518367023,0.0034639801724579426,3.251071208597139e-16,1.842010947733476e-15,0.0,0.0,0.5,-0.029857959155184573,-1.1739913215579073e-16,-0.009580614816329769,0.03135738996108489,0
7.24,PID,HOVER_NO_WIND,HOVER,-0.02983065168422776,-1.1484426931893788e-16,0.4904304327284293,0.003413433869601555,3.1324291323353174e-16,1.7914339655240033e-15,0.0,0.0,0.5,-0.02983065168422776,-1.1484426931893788e-16,-0.009569567271570711,0.03132801298631686,0
7.248,PID,HOVER_NO_WIND,HOVER,-0.029803743846529552,-1.124077746108842e-16,0.4904414881917101,0.0033634797122761265,2.984414804675955e-16,1.819650648337908e-15,0.0,0.0,0.5,-0.029803743846529552,-1.124077746108842e-16,-0.009558511808289927,0.031299014285736955,0
7.256,PID,HOVER_NO_WIND,HOVER,-0.02977723093034863,-1.1011454272831179e-16,0.49045254909820896,0.0033141145226152674,2.8055015753043925e-16,1.8417673105317018e-15,0.0,0.0,0.5,-0.02977723093034863,-1.1011454272831179e-16,-0.009547450901791044,0.031270390157486394,0
7.264,PID,HOVER_NO_WIND,HOVER,-0.02975110825018893,-1.0795561910010853e-16,0.4904636130419324,0.0032653350199624153,2.637766821187265e-16,1.8646697412232085e-15,0.0,0.0,0.5,-0.02975110825018893,-1.0795561910010853e-16,-0.009536386958067578,0.03124213690400292,0
7.272,PID,HOVER_NO_WIND,HOVER,-0.029725371147582055,-1.0592661029823569e-16,0.4904746776850588,0.0032171378258594664,2.475550721716454e-16,1.887089826758582e-15,0.0,0.0,0.5,-0.029725371147582055,-1.0592661029823569e-16,-0.009525322314941187,0.031214250832993257,0
7.28,PID,HOVER_NO_WIND,HOVER,-0.029700014991830937,-1.0402061283766198e-16,0.49048574075680756,0.003169519468889691,2.3219611169037417e-16,1.9099333324052926e-15,0.0,0.0,0.5,-0.029700014991830937,-1.0402061283766198e-16,-0.009514259243192436,0.031186728258373864,0
7.288,PID,HOVER_NO_WIND,HOVER,-0.029675035180715893,-1.0223326208041013e-16,0.4904968000523163,0.003122476389380566,2.1738162605087016e-16,1.9334713390125923e-15,0.0,0.0,0.5,-0.029675035180715893,-1.0223326208041013e-16,-0.009503199947683727,0.03115956550118088,0
7.296,PID,HOVER_NO_WIND,HOVER,-0.029650427141164167,-1.0056423832431048e-16,0.4905078534315257,0.003076004943965667,2.026074576673823e-16,1.9572503798747142e-15,0.0,0.0,0.5,-0.029650427141164167,-1.0056423832431048e-16,-0.009492146568474302,0.031132758890449835,0
7.304,PID,HOVER_NO_WIND,HOVER,-0.02962618632988408,-9.901473510350646e-17,0.4905188988180728,0.0030301014100108147,1.8768445305188703e-16,1.981270174252851e-15,0.0,0.0,0.5,-0.02962618632988408,-9.901473510350646e-17,-0.009481101181927187,0.03110630476406594,0
7.312,PID,HOVER_NO_WIND,HOVER,-0.029602308233964793,-9.758745524380742e-17,0.4905299341981923,0.002984761989910983,1.7242503241031424e-16,2.0051682754922343e-15,0.0,0.0,0.5,-0.029602308233964793,-9.758745524380742e-17,-0.009470065801807703,0.031080199469585575,0
7.32,PID,HOVER_NO_WIND,HOVER,-0.029578788371442774,-9.62845900130189e-17,0.49054095761962646,0.002939982815252336,1.5689575297763324e-16,2.028039361318619e-15,0.0,0.0,0.5,-0.029578788371442774,-9.62845900130189e-17,-0.009459042380373539,0.031054439365029617,0
7.328,PID,HOVER_NO_WIND,HOVER,-0.02955562229183593,-9.510277818282099e-17,0.4905519671905443,0.0028957599508554347,1.4182692821802225e-16,2.0373064953031074e-15,0.0,0.0,0.5,-0.02955562229183593,-9.510277818282099e-17,-0.00944803280945572,0.031029020819649155,0
7.336,PID,HOVER_NO_WIND,HOVER,-0.029532805576646406,-9.403554281111262e-17,0.49056296107846903,0.002852089398690507,1.275653788045585e-16,2.0472859867814456e-15,0.0,0.0,0.5,-0.029532805576646406,-9.403554281111262e-17,-0.009437038921530971,0.03100394021466445,0
7.344,PID,HOVER_NO_WIND,HOVER,-0.029510333839833005,-9.308045737242033e-17,0.49057393750921524,0.0028089671016751925,1.136427655648554e-16,2.0444932474490775e-15,0.0,0.0,0.5,-0.029510333839833005,-9.308045737242033e-17,-0.009426062490784759,0.030979193943977502,0
7.352,PID,HOVER_NO_WIND,HOVER,-0.029488202728254184,-9.223651538967468e-17,0.4905848947658348,0.0027663889473525877,9.984234523201315e-17,2.042519225866875e-15,0.0,0.0,0.5,-0.029488202728254184,-9.223651538967468e-17,-0.009415105234165222,0.030954778414859035,0
7.36,PID,HOVER_NO_WIND,HOVER,-0.0294664079220825,-9.150725082567784e-17,0.4905958311875725,0.002724350771460442,8.563687096754093e-17,2.0266111067274896e-15,0.0,0.0,0.5,-0.0294664079220825,-9.150725082567784e-17,-0.009404168812427505,0.030930690048610304,0
